"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"L&amp;TFH","EQ","13-Dec-2018","        143.90","        144.85","        148.85","        144.25","        145.10","        145.15","        146.78","    5807553","           852418747.25","      39495","    1130167","         19.46"
"L&amp;TFH","EQ","14-Dec-2018","        145.15","        145.05","        148.40","        143.60","        146.80","        146.85","        146.65","    4396492","           644757134.45","      41181","    1521973","         34.62"
"L&amp;TFH","EQ","17-Dec-2018","        146.85","        147.30","        148.00","        146.35","        147.45","        147.45","        147.17","    2363411","           347825210.00","      17416","     897529","         37.98"
"L&amp;TFH","EQ","18-Dec-2018","        147.45","        146.25","        149.90","        145.60","        146.70","        146.75","        147.31","    3669223","           540528841.40","      30551","     670352","         18.27"
"L&amp;TFH","EQ","19-Dec-2018","        146.75","        147.70","        156.75","        147.15","        155.70","        155.60","        153.16","   11084670","          1697770988.00","      63071","    3004004","         27.10"
"L&amp;TFH","EQ","20-Dec-2018","        155.60","        154.25","        158.15","        153.60","        157.45","        157.35","        156.69","    7015922","          1099359166.25","      52733","    1728208","         24.63"
"L&amp;TFH","EQ","21-Dec-2018","        157.35","        157.90","        159.25","        150.50","        150.90","        151.20","        154.36","    7292113","          1125626279.60","      73612","    2392355","         32.81"
"L&amp;TFH","EQ","24-Dec-2018","        151.20","        151.70","        155.50","        149.30","        152.80","        152.85","        152.59","    5273230","           804621636.95","      51661","    1202250","         22.80"
"L&amp;TFH","EQ","26-Dec-2018","        152.85","        152.30","        155.90","        149.45","        154.00","        154.35","        152.97","    6197173","           947976279.15","      46595","    1182980","         19.09"
"L&amp;TFH","EQ","27-Dec-2018","        154.35","        156.40","        156.90","        153.20","        153.80","        154.25","        155.19","    6470996","          1004211972.85","      54359","    2279805","         35.23"
"L&amp;TFH","EQ","28-Dec-2018","        154.25","        154.25","        155.95","        153.30","        154.50","        154.45","        154.55","    3756769","           580597595.85","      33275","    1104020","         29.39"
"L&amp;TFH","EQ","31-Dec-2018","        154.45","        155.90","        156.50","        151.85","        152.80","        152.60","        153.54","    4509762","           692425581.55","      32768","    1145236","         25.39"
"L&amp;TFH","EQ","01-Jan-2019","        152.60","        153.40","        154.05","        151.75","        153.50","        153.15","        152.99","    3050999","           466766737.50","      22176","    1050992","         34.45"
"L&amp;TFH","EQ","02-Jan-2019","        153.15","        153.20","        154.35","        149.60","        149.95","        150.50","        151.91","    4695402","           713275677.95","      52131","    1853541","         39.48"
"L&amp;TFH","EQ","03-Jan-2019","        150.50","        150.55","        151.25","        144.80","        145.25","        145.40","        147.21","    6474355","           953117892.60","      43044","    3260054","         50.35"
"L&amp;TFH","EQ","04-Jan-2019","        145.40","        145.40","        146.75","        142.20","        145.65","        144.40","        144.10","    8860605","          1276815165.35","      77164","    3668177","         41.40"
"L&amp;TFH","EQ","07-Jan-2019","        144.40","        146.25","        148.75","        145.25","        145.95","        145.70","        146.53","    4202422","           615766074.60","      30322","    1153311","         27.44"
"L&amp;TFH","EQ","08-Jan-2019","        145.70","        146.40","        148.80","        144.80","        148.55","        148.30","        147.49","    3082948","           454716507.05","      22417","     806416","         26.16"
"L&amp;TFH","EQ","09-Jan-2019","        148.30","        149.10","        150.05","        142.65","        144.75","        144.65","        145.49","    5415783","           787947598.70","      35176","    1677261","         30.97"
"L&amp;TFH","EQ","10-Jan-2019","        144.65","        144.65","        146.00","        143.25","        144.20","        144.30","        144.54","    2483786","           359010207.30","      21708","     412761","         16.62"
"L&amp;TFH","EQ","11-Jan-2019","        144.30","        144.50","        145.00","        139.60","        141.10","        141.50","        141.34","    4639398","           655729013.95","      43152","    1132678","         24.41"
"L&amp;TFH","EQ","14-Jan-2019","        141.50","        140.95","        140.95","        135.00","        136.40","        136.25","        136.48","   10750077","          1467151252.60","      83247","    4987466","         46.39"
"L&amp;TFH","EQ","15-Jan-2019","        136.25","        137.00","        142.00","        136.75","        141.90","        141.05","        139.81","    5914185","           826860025.70","      51895","    2020700","         34.17"
"L&amp;TFH","EQ","16-Jan-2019","        141.05","        141.85","        144.20","        141.20","        141.75","        141.85","        142.47","    5431451","           773837331.45","      42318","    1702613","         31.35"
"L&amp;TFH","EQ","17-Jan-2019","        141.85","        142.50","        144.15","        140.25","        140.95","        141.30","        141.99","    7492429","          1063882021.95","      44504","    3368705","         44.96"
"L&amp;TFH","EQ","18-Jan-2019","        141.30","        142.20","        142.20","        138.35","        141.00","        140.65","        140.16","    5024148","           704196581.55","      33638","    1707322","         33.98"
"L&amp;TFH","EQ","21-Jan-2019","        140.65","        140.95","        141.90","        137.80","        140.20","        140.15","        139.94","    9029314","          1263596477.15","      92416","    3155845","         34.95"
"L&amp;TFH","EQ","22-Jan-2019","        140.15","        138.70","        140.95","        135.20","        137.30","        137.00","        137.51","   15751497","          2166013662.55","      89041","    4078090","         25.89"
"L&amp;TFH","EQ","23-Jan-2019","        137.00","        137.00","        138.35","        135.50","        136.60","        136.60","        136.67","    4333336","           592257471.70","      22497","     998267","         23.04"
"L&amp;TFH","EQ","24-Jan-2019","        136.60","        137.00","        138.15","        135.65","        137.20","        137.50","        136.92","    3490759","           477947423.55","      22425","     555656","         15.92"
"L&amp;TFH","EQ","25-Jan-2019","        137.50","        138.30","        138.70","        132.80","        134.75","        134.65","        135.94","    5569523","           757101107.05","      39219","    1427017","         25.62"
"L&amp;TFH","EQ","28-Jan-2019","        134.65","        133.70","        134.80","        124.45","        127.95","        128.45","        127.84","   10124940","          1294390972.75","      96866","    3081813","         30.44"
"L&amp;TFH","EQ","29-Jan-2019","        128.45","        128.00","        132.20","        127.15","        131.85","        131.00","        129.35","    4131027","           534364100.25","      35844","     889853","         21.54"
"L&amp;TFH","EQ","30-Jan-2019","        131.00","        132.05","        133.45","        129.25","        132.05","        132.70","        131.44","    6491534","           853266852.65","      38255","    2792587","         43.02"
"L&amp;TFH","EQ","31-Jan-2019","        132.70","        133.40","        133.90","        128.25","        131.35","        131.45","        130.44","    4763262","           621343136.20","      37421","     965879","         20.28"
"L&amp;TFH","EQ","01-Feb-2019","        131.45","        132.00","        134.45","        128.05","        130.35","        130.30","        131.24","    4709841","           618126317.55","      36286","     905892","         19.23"
"L&amp;TFH","EQ","04-Feb-2019","        130.30","        130.00","        130.15","        126.00","        126.85","        127.55","        127.88","    6905425","           883042580.90","      70344","    2742386","         39.71"
"L&amp;TFH","EQ","05-Feb-2019","        127.55","        127.65","        129.80","        125.20","        126.45","        126.40","        127.44","    5188504","           661229492.35","      32335","    1918198","         36.97"
"L&amp;TFH","EQ","06-Feb-2019","        126.40","        127.00","        129.45","        125.70","        128.95","        128.60","        127.31","    3515758","           447581680.20","      22794","    1061497","         30.19"
"L&amp;TFH","EQ","07-Feb-2019","        128.60","        128.35","        137.05","        128.05","        135.35","        135.50","        133.47","    7670540","          1023773201.55","      53006","    1971381","         25.70"
"L&amp;TFH","EQ","08-Feb-2019","        135.50","        133.65","        134.30","        128.10","        128.50","        128.85","        129.98","    8908834","          1157947612.95","      71735","    2386503","         26.79"
"L&amp;TFH","EQ","11-Feb-2019","        128.85","        129.00","        129.00","        123.80","        125.80","        125.65","        125.55","    4430011","           556186474.30","      33640","     964497","         21.77"
"L&amp;TFH","EQ","12-Feb-2019","        125.65","        125.85","        128.00","        124.65","        125.50","        125.55","        126.41","    3046347","           385075520.55","      26343","     720383","         23.65"
"L&amp;TFH","EQ","13-Feb-2019","        125.55","        126.10","        126.90","        122.70","        123.20","        123.10","        124.29","    3334305","           414423530.75","      27577","    1006361","         30.18"
"L&amp;TFH","EQ","14-Feb-2019","        123.10","        123.00","        127.80","        120.10","        127.05","        127.30","        123.38","    9561550","          1179658484.50","      53604","    3223246","         33.71"
"L&amp;TFH","EQ","15-Feb-2019","        127.30","        126.00","        127.80","        123.05","        125.50","        125.70","        125.28","    6888568","           863010875.50","      51648","    2730089","         39.63"
"L&amp;TFH","EQ","18-Feb-2019","        125.70","        125.70","        127.20","        121.50","        121.90","        121.90","        123.89","    4927375","           610450743.20","      43067","    1433691","         29.10"
"L&amp;TFH","EQ","19-Feb-2019","        121.90","        122.15","        125.55","        121.90","        122.40","        122.30","        123.75","    4277919","           529381637.45","      30484","    1074258","         25.11"
"L&amp;TFH","EQ","20-Feb-2019","        122.30","        123.55","        124.65","        122.55","        124.30","        124.20","        123.64","    4160431","           514378357.50","      25008","    1460859","         35.11"
"L&amp;TFH","EQ","21-Feb-2019","        124.20","        124.20","        127.75","        123.80","        127.40","        127.15","        126.12","    8438350","          1064210348.75","      56609","    3252306","         38.54"
"L&amp;TFH","EQ","22-Feb-2019","        127.15","        127.15","        129.00","        125.75","        126.50","        126.50","        127.40","    5253489","           669288736.55","      45819","    1715958","         32.66"
"L&amp;TFH","EQ","25-Feb-2019","        126.50","        126.85","        127.95","        125.30","        126.50","        126.50","        126.48","    3647263","           461322625.25","      27810","    1289086","         35.34"
